name,size,totalRevenue,industry,businessType,country,website
SentientAI Labs,LARGE,450212715,Artificial Intelligence & Machine Learning,B2C,KR,https://sentientailabs.com
Nexus Neural Networks,MEDIUM,13554013,Artificial Intelligence & Machine Learning,B2C,IT,https://nexusneuralnetworks.com
Infinity AI Solutions,MICRO,314921,Artificial Intelligence & Machine Learning,B2B,CN,https://infinityaisolutions.com
CryptoForge Solutions,MICRO,440830,Blockchain & Cryptocurrency,B2B,SE,https://cryptoforgesolutions.com
NexusChain Technologies,LARGE,454105772,Blockchain & Cryptocurrency,B2C,US,https://nexuschaintechnologies.com
Quantum Ledger Systems,SMALL,4292248,Blockchain & Cryptocurrency,B2C,IE,https://quantumledgersystems.com
BlockHorizon,SMALL,3437957,Blockchain & Cryptocurrency,B2B,IL,https://blockhorizon.com
OmniChain Innovations,LARGE,312155031,Blockchain & Cryptocurrency,B2B,HK,https://omnichaininnovations.com
Vertex Blockchain,SMALL,2183581,Blockchain & Cryptocurrency,B2B,AT,https://vertexblockchain.com
SecureLedger Tech,MICRO,446482,Blockchain & Cryptocurrency,B2C,KR,https://secureledgertech.kr
Infinity Crypto Solutions,SMALL,4046484,Blockchain & Cryptocurrency,B2B,CH,https://infinitycryptosolutions.com
HyperChain Systems,MEDIUM,11965277,Blockchain & Cryptocurrency,B2B,CH,https://hyperchainsystems.com
Sentinel Blockchain Security,SMALL,4507728,Blockchain & Cryptocurrency,B2C,SG,https://sentinelblockchainsecurity.com
IoT Nexus,MICRO,268680,Internet of Things,B2C,SE,https://iotnexus.com
SmartMesh Solutions,LARGE,116619840,Internet of Things,B2C,IL,https://smartmeshsolutions.com
Connected Wave,LARGE,112406801,Internet of Things,B2C,FR,https://connectedwave.com
IoT Synergy,MEDIUM,48803909,Internet of Things,B2B,NL,https://iotsynergy.com
Quantum Link,MEDIUM,42339123,Internet of Things,B2C,FR,https://quantumlink.com
SensorSphere,MICRO,370663,Internet of Things,B2C,KR,https://sensorsphere.com
NextGen IoT,LARGE,168299443,Internet of Things,B2B,HK,https://nextgeniot.com
OmniLink Networks,LARGE,125317209,Internet of Things,B2B,NZ,https://omnilinknetworks.com
EdgeSync,MEDIUM,29476066,Internet of Things,B2C,CA,https://edgesync.com
NeuraConnect,MEDIUM,21859915,Internet of Things,B2B,CA,https://neuraconnect.com
AdVantage Digital,MEDIUM,13185314,Digital Marketing & Advertising,B2B,FR,https://advantagedigital.com
MarTech Wizards,MEDIUM,44358810,Digital Marketing & Advertising,B2C,DE,https://martechwizards.com
ClickCraft,MEDIUM,32661136,Digital Marketing & Advertising,B2C,KR,https://clickcraft.com
AdElevate,MICRO,409108,Digital Marketing & Advertising,B2B,US,https://adelevate.com
BrandBoost Media,MICRO,388922,Digital Marketing & Advertising,B2B,US,https://brandboostmedia.com
ViralEdge,LARGE,122827579,Digital Marketing & Advertising,B2B,DE,https://viraledge.de
OmniReach Ads,LARGE,299206958,Digital Marketing & Advertising,B2B,SG,https://omnireachads.com
Engage360,MEDIUM,40392224,Digital Marketing & Advertising,B2B,US,https://engage360.com
Visionary Clicks,MICRO,123310,Digital Marketing & Advertising,B2B,EE,https://visionaryclicks.com
Momentum Marketing,MICRO,224707,Digital Marketing & Advertising,B2C,JP,https://momentummarketing.jp
ShopSphere,MICRO,320815,E-commerce & Online Marketplaces,B2B,DK,https://shopsphere.com
TradeHorizon,MICRO,26739,E-commerce & Online Marketplaces,B2C,AT,https://tradehorizon.com
E-Market Innovators,MICRO,144269,E-commerce & Online Marketplaces,B2C,CH,https://e-marketinnovators.com
BuySmart,MICRO,471301,E-commerce & Online Marketplaces,B2C,US,https://buysmart.us
OmniCart Solutions,MEDIUM,49548878,E-commerce & Online Marketplaces,B2C,FI,https://omnicartsolutions.com
QuickCommerce,SMALL,2775328,E-commerce & Online Marketplaces,B2B,SG,https://quickcommerce.com
Global Bazaar,SMALL,2432618,E-commerce & Online Marketplaces,B2B,NL,https://globalbazaar.com
TrendHaven,MEDIUM,13265155,E-commerce & Online Marketplaces,B2C,US,https://trendhaven.com
WebCart Express,MICRO,35809,E-commerce & Online Marketplaces,B2C,US,https://webcartexpress.com
NextGen Marketplace,MICRO,387442,E-commerce & Online Marketplaces,B2C,NL,https://nextgenmarketplace.com
NextPlay Edge,MICRO,298299,Gaming & Interactive Entertainment,B2B,IL,https://nextplayedge.com
Epic Labs,MICRO,231083,Gaming & Interactive Entertainment,B2B,NL,https://epiclabs.com
Glitch Edge,SMALL,2126780,Gaming & Interactive Entertainment,B2B,DE,https://glitchedge.com
Neon Hub,LARGE,60363174,Gaming & Interactive Entertainment,B2B,DK,https://neonhub.com
Glitch Networks,SMALL,1374689,Gaming & Interactive Entertainment,B2C,CH,https://glitchnetworks.ch
Quantum Edge,SMALL,2729351,Gaming & Interactive Entertainment,B2B,NL,https://quantumedge.com
PlayVerse Tech,MICRO,307690,Gaming & Interactive Entertainment,B2B,CH,https://playversetech.com
GameX Ventures,MICRO,319874,Gaming & Interactive Entertainment,B2B,HK,https://gamexventures.hk
ZPT Games,LARGE,393424316,Gaming & Interactive Entertainment,B2B,KR,https://zptgames.com
Quantum Systems,MICRO,229491,Gaming & Interactive Entertainment,B2B,FI,https://quantumsystems.com
FinNova Ventures,MICRO,17647,Fintech,B2C,SE,https://finnovaventures.com
PaySync Edge,SMALL,4361419,Fintech,B2B,NZ,https://paysyncedge.com
QuantumBank Edge,LARGE,334499388,Fintech,B2B,KR,https://quantumbankedge.com
BlockWealth Systems,SMALL,576038,Fintech,B2B,CA,https://blockwealthsystems.com
SwiftFund Tech,LARGE,121848435,Fintech,B2B,IL,https://swiftfundtech.com
PaySync Networks,MICRO,201999,Fintech,B2B,LU,https://paysyncnetworks.com
BlockWealth Networks,MICRO,97624,Fintech,B2B,KR,https://blockwealthnetworks.kr
QuantumBank Solutions,LARGE,150058409,Fintech,B2B,EE,https://quantumbanksolutions.com
CrediFlow Solutions,SMALL,2696319,Fintech,B2B,CA,https://crediflowsolutions.com
WealthTech Ventures,MEDIUM,41779627,Fintech,B2B,SE,https://wealthtechventures.se
SmartScholars Innovations,SMALL,3054965,EdTech,B2C,CH,https://smartscholarsinnovations.com
EduVerse Hub,MEDIUM,32093482,EdTech,B2B,DK,https://eduversehub.com
Brainz,LARGE,393668114,EdTech,B2B,IE,https://brainz.com
SmartScholars Networks,MEDIUM,23749744,EdTech,B2B,LU,https://smartscholarsnetworks.com
NeoLearn Edge,MEDIUM,5586055,EdTech,B2B,AT,https://neolearnedge.com
NextGenEdu Edge,LARGE,156568142,EdTech,B2B,FR,https://nextgeneduedge.com
SmartScholars Systems,SMALL,4582073,EdTech,B2B,SE,https://smartscholarssystems.com
SmartScholars Solutions,MEDIUM,35968587,EdTech,B2C,SE,https://smartscholarssolutions.com
LearnSync Hub,MEDIUM,26159277,EdTech,B2C,IL,https://learnsynchub.com
Academix Solutions,SMALL,1435593,EdTech,B2B,DK,https://academixsolutions.com
VitalEdge Ventures,MEDIUM,21881597,HealthTech,B2C,IL,https://vitaledgeventures.com
WellnessAI Ventures,SMALL,3538619,HealthTech,B2B,SE,https://wellnessaiventures.com
SmartCare Systems,MICRO,208212,HealthTech,B2B,IL,https://smartcaresystems.com
BioNext Tech,MEDIUM,18895103,HealthTech,B2C,CA,https://bionexttech.com
WellnessAI Solutions,SMALL,4816537,HealthTech,B2B,SG,https://wellnessaisolutions.com
NeoHealth Hub,LARGE,452137575,HealthTech,B2B,US,https://neohealthhub.us
MedSphere Networks,MEDIUM,42056527,HealthTech,B2B,CH,https://medspherenetworks.com
BioNext Solutions,MEDIUM,43858016,HealthTech,B2C,SG,https://bionextsolutions.com
HealthNova Ventures,LARGE,227031051,HealthTech,B2C,FR,https://healthnovaventures.com
SmartCare Networks,SMALL,3910188,HealthTech,B2B,IS,https://smartcarenetworks.com
ContentEdge Networks,MICRO,100884,Media & Content Streaming,B2B,GB,https://contentedgenetworks.com
ContentEdge Solutions,MEDIUM,42711342,Media & Content Streaming,B2C,CN,https://contentedgesolutions.cn
StreamX Edge,LARGE,167027099,Media & Content Streaming,B2B,NO,https://streamxedge.com
MediaFlow Hub,MICRO,283048,Media & Content Streaming,B2C,US,https://mediaflowhub.com
CineVerse Hub,MEDIUM,22720988,Media & Content Streaming,B2B,CA,https://cineversehub.ca
EpicStream Tech,LARGE,368717745,Media & Content Streaming,B2B,KR,https://epicstreamtech.com
CineVerse Tech,MEDIUM,37083185,Media & Content Streaming,B2C,LU,https://cineversetech.lu
StreamX Networks,MICRO,445489,Media & Content Streaming,B2C,DE,https://streamxnetworks.com
NextCast Edge,LARGE,295453227,Media & Content Streaming,B2B,DE,https://nextcastedge.com
NovaMedia Dynamics,SMALL,4762851,Media & Content Streaming,B2C,US,https://novamediadynamics.com
NeonXR Networks,MICRO,305759,Augmented Reality & Virtual Reality,B2B,IS,https://neonxrnetworks.com
Augmenta Tech,MICRO,359803,Augmented Reality & Virtual Reality,B2B,FR,https://augmentatech.com
NextReality Innovations,MEDIUM,39422059,Augmented Reality & Virtual Reality,B2B,US,https://nextrealityinnovations.com
HoloSync Ventures,MEDIUM,31176618,Augmented Reality & Virtual Reality,B2B,CZ,https://holosyncventures.com
CyberVerse Networks,SMALL,2886322,Augmented Reality & Virtual Reality,B2C,NL,https://cyberversenetworks.com
ARFusion Ventures,LARGE,81811868,Augmented Reality & Virtual Reality,B2C,GB,https://arfusionventures.com
DreamXR Hub,SMALL,635740,Augmented Reality & Virtual Reality,B2C,SG,https://dreamxrhub.sg
NeonXR Innovations,SMALL,822507,Augmented Reality & Virtual Reality,B2B,DE,https://neonxrinnovations.com
CypherVille,MICRO,418132,Augmented Reality & Virtual Reality,B2C,SG,https://cypherville.com
CyberVerse Edge,LARGE,458029345,Augmented Reality & Virtual Reality,B2C,DK,https://cyberverseedge.dk
CitySphere Labs,SMALL,4016158,Smart Infrastructure & Smart Cities,B2C,NL,https://cityspherelabs.com
NextGenSmart Hub,MICRO,219643,Smart Infrastructure & Smart Cities,B2C,SE,https://nextgensmarthub.com
SmartGrid Solutions,MEDIUM,12025595,Smart Infrastructure & Smart Cities,B2B,NO,https://smartgridsolutions.com
MetroTech Ventures,MICRO,478248,Smart Infrastructure & Smart Cities,B2B,FR,https://metrotechventures.com
UrbanEdge Solutions,LARGE,113843873,Smart Infrastructure & Smart Cities,B2B,KR,https://urbanedgesolutions.com
NextGenSmart Edge,SMALL,812767,Smart Infrastructure & Smart Cities,B2C,SE,https://nextgensmartedge.com
MetroTech Systems,LARGE,167132315,Smart Infrastructure & Smart Cities,B2B,SE,https://metrotechsystems.se
MetroTech Innovations,MICRO,380943,Smart Infrastructure & Smart Cities,B2B,NZ,https://metrotechinnovations.nz
CitySphere Solutions,SMALL,4482944,Smart Infrastructure & Smart Cities,B2B,DK,https://cityspheresolutions.com
SmartGrid Systems,MICRO,329788,Smart Infrastructure & Smart Cities,B2C,IE,https://smartgridsystems.com
SmartMachines Systems,SMALL,1084601,Automation & Robotics,B2B,CH,https://smartmachinessystems.com
FutureBots Networks,MEDIUM,14909656,Automation & Robotics,B2C,LU,https://futurebotsnetworks.lu
IRobotics,LARGE,245917696,Automation & Robotics,B2C,NL,https://irobotics.com
MechaSync Innovations,SMALL,3499310,Automation & Robotics,B2C,DK,https://mechasyncinnovations.com
RoboSphere Tech,SMALL,2161513,Automation & Robotics,B2C,FR,https://robospheretech.com
FutureBots Systems,MICRO,274843,Automation & Robotics,B2C,KR,https://futurebotssystems.com
RoboLink Systems,SMALL,862423,Automation & Robotics,B2C,FI,https://robolinksystems.fi
AI-Mech Networks,MICRO,133460,Automation & Robotics,B2B,DE,https://ai-mechnetworks.com
RoboNext Edge,MEDIUM,17590217,Automation & Robotics,B2C,CN,https://robonextedge.com
SmartMachines Edge,MICRO,342536,Automation & Robotics,B2C,FR,https://smartmachinesedge.com
QubitEdge Solutions,SMALL,4317548,Quantum Computing,B2B,CH,https://qubitedgesolutions.com
NextQubit Innovations,LARGE,163222246,Quantum Computing,B2B,EE,https://nextqubitinnovations.com
QWave Ventures,MEDIUM,15721029,Quantum Computing,B2C,IL,https://qwaveventures.com
QuantumLogic Hub,MICRO,231004,Quantum Computing,B2C,CN,https://quantumlogichub.com
QuantumCore Dynamics,MEDIUM,20080281,Quantum Computing,B2C,CH,https://quantumcoredynamics.com
NextQubit Dynamics,LARGE,364408502,Quantum Computing,B2B,CA,https://nextqubitdynamics.com
QubitTech Tech,MEDIUM,38203048,Quantum Computing,B2B,CA,https://qubittechtech.com
QuantumCore Systems,LARGE,366367206,Quantum Computing,B2C,DE,https://quantumcoresystems.com
HyperQ Ventures,MICRO,498772,Quantum Computing,B2B,AU,https://hyperqventures.au
QuantumComputingNexus,LARGE,321410593,Quantum Computing,B2B,FR,https://quantumcomputingnexus.com
Radiant 5G,MEDIUM,34451669,5G & Next-Gen Wireless Technology,B2B,HK,http://radiant5g.com
RapidLink,MEDIUM,39753264,5G & Next-Gen Wireless Technology,B2B,FR,https://rapidlink.com
AerialNet,MICRO,399786,5G & Next-Gen Wireless Technology,B2B,GB,https://aerialnet.com
EvoNext,LARGE,244613234,5G & Next-Gen Wireless Technology,B2C,NL,https://evonext.com
SwiftConnect,MICRO,416121,5G & Next-Gen Wireless Technology,B2C,KR,https://swiftconnect.com
Connectera,MEDIUM,17088033,5G & Next-Gen Wireless Technology,B2C,AU,https://connectera.com
InfinitiWave,LARGE,489032531,5G & Next-Gen Wireless Technology,B2B,GB,https://infinitiwave.com
TerraBeam,MEDIUM,9691818,5G & Next-Gen Wireless Technology,B2C,US,https://terrabeam.com
SpectraLink,LARGE,343315252,5G & Next-Gen Wireless Technology,B2B,IL,https://spectralink.com
Skywire,SMALL,4546588,5G & Next-Gen Wireless Technology,B2B,AT,https://skywire.com
AutoZen,SMALL,2763574,Autonomous Vehicles & Mobility Technology,B2C,NL,https://autozen.com
Fluicity,LARGE,78559753,Autonomous Vehicles & Mobility Technology,B2B,KR,https://fluicity.com
Robotaxi,SMALL,2847889,Autonomous Vehicles & Mobility Technology,B2C,LU,https://robotaxi.com
Commutus,SMALL,1596040,Autonomous Vehicles & Mobility Technology,B2C,SG,https://commutus.com
Vexel,LARGE,100538368,Autonomous Vehicles & Mobility Technology,B2B,BE,https://vexel.com
BetterWay,MEDIUM,31256316,Autonomous Vehicles & Mobility Technology,B2B,NL,https://betterway.com
Zubigo,MICRO,179893,Autonomous Vehicles & Mobility Technology,B2C,CN,https://zubigo.com
RevolveDrive,SMALL,3103327,Autonomous Vehicles & Mobility Technology,B2B,NO,https://revolvedrive.com
BlueMove,MEDIUM,18325444,Autonomous Vehicles & Mobility Technology,B2C,NL,https://bluemove.com
AetherRoad,MEDIUM,17039450,Autonomous Vehicles & Mobility Technology,B2B,GB,https://aetherroad.gb
Digiversal,SMALL,2667490,Digital Twin Technology,B2B,NO,https://digiversal.no
Virtudata,MEDIUM,19663148,Digital Twin Technology,B2C,BE,https://virtudata.com
Novascape,LARGE,160801176,Digital Twin Technology,B2C,NO,https://novascape.com
Simulos,LARGE,322125955,Digital Twin Technology,B2C,DE,https://simulos.com
TwinData,SMALL,3368303,Digital Twin Technology,B2B,CN,https://twindata.com
DataMI,MEDIUM,47162241,Digital Twin Technology,B2C,AU,https://datami.com
Digitex,SMALL,3183586,Digital Twin Technology,B2B,NZ,https://digitex.com
Innoverse,MEDIUM,5938902,Digital Twin Technology,B2B,KR,https://innoverse.com
NearReality,MEDIUM,25393697,Digital Twin Technology,B2C,NL,https://nearreality.com
Syntelligence,SMALL,2871216,Digital Twin Technology,B2B,CH,https://syntelligence.com
DataDynamix,LARGE,157112926,MarTech,B2C,EE,https://datadynamix.com
CollectiveAI,LARGE,226212220,MarTech,B2C,IE,https://collectiveai.ie
SignalAI,LARGE,138822417,MarTech,B2B,GB,https://signalai.com
AudiencePlus,SMALL,1447881,MarTech,B2C,FR,https://audienceplus.com
PulseAnalytics,LARGE,233477570,MarTech,B2C,IL,https://pulseanalytics.il
SocialMP,MEDIUM,17519598,MarTech,B2B,GB,https://socialmp.com
Personalytix,SMALL,4143830,MarTech,B2B,CA,https://personalytix.com
SocialPilot,SMALL,3230439,MarTech,B2C,CA,https://socialpilot.com
Cliklytics,MEDIUM,25622722,MarTech,B2C,HK,https://cliklytics.hk
Valence Marketing,LARGE,420637042,MarTech,B2B,FI,https://valencemarketing.com
Estatelens,LARGE,299500000,PropTech,B2C,CH,https://estatelens.com
TrueTours,MEDIUM,33001606,PropTech,B2B,BE,https://truetours.be
VirtualRez,LARGE,203859509,PropTech,B2C,SG,https://virtualrez.com
Virtutour,LARGE,463897036,PropTech,B2B,DK,https://virtutour.com
VPMBase,SMALL,868861,PropTech,B2C,FI,https://vpmbase.com
Propello,MICRO,102159,PropTech,B2C,NO,https://propello.com
Dwellio,MICRO,491684,PropTech,B2C,CH,https://dwellio.com
Landscribe,SMALL,1412702,PropTech,B2B,NL,https://landscribe.com
Verisage,MEDIUM,23013426,PropTech,B2C,LU,https://verisage.com
CloudRE,MEDIUM,20162254,PropTech,B2C,GB,https://cloudre.gb
Insurify,SMALL,3936978,InsurTech,B2B,NZ,https://insurify.com
Botsure,LARGE,114151503,InsurTech,B2B,AT,https://botsure.at
Diaware,LARGE,249481797,InsurTech,B2B,JP,https://diaware.com
Assureware,SMALL,1566500,InsurTech,B2C,CA,https://assureware.ca
Axiomatical,SMALL,1589373,InsurTech,B2C,SE,https://axiomatical.com
Aifinity,LARGE,305935618,InsurTech,B2C,CN,https://aifinity.cn
Insuravision,LARGE,145410301,InsurTech,B2B,FI,https://insuravision.com
PolicyLens,MICRO,306693,InsurTech,B2B,GB,https://policylens.com
Intellrisk,SMALL,1546788,InsurTech,B2B,US,https://intellrisk.com
InsurAnalytics,MICRO,408180,InsurTech,B2C,SG,https://insuranalytics.com
ClearCheck,MICRO,77454,RegTech,B2C,CH,https://clearcheck.com
SafeKey,MICRO,173825,RegTech,B2B,IT,https://safekey.com
SecureScan,LARGE,91123658,RegTech,B2B,SE,https://securescan.com
ProofStack,MEDIUM,49487273,RegTech,B2B,IE,https://proofstack.ie
RiskID,MEDIUM,21727316,RegTech,B2C,JP,https://riskid.jp
Regassured,MEDIUM,31013455,RegTech,B2B,IS,https://regassured.com
CorrectCase,LARGE,221994232,RegTech,B2C,US,https://correctcase.com
Validify,MEDIUM,30326472,RegTech,B2C,CN,https://validify.com
Verifai,LARGE,353630394,RegTech,B2C,CA,https://verifai.com
RegAssist,MICRO,270565,RegTech,B2C,NO,https://regassist.com
GovTalk,LARGE,356760858,GovTech,B2B,DE,https://govtalk.de
CivicHub,MEDIUM,5769631,GovTech,B2C,CZ,https://civichub.com
CitizenAI,LARGE,56973721,GovTech,B2B,FR,https://citizenai.com
IntelliGov,LARGE,353876383,GovTech,B2C,BE,https://intelligov.com
OpenDataPublic,MICRO,66292,GovTech,B2B,FI,https://opendatapublic.com
Civitize,MICRO,252170,GovTech,B2B,IT,https://civitize.com
Communify,SMALL,1220662,GovTech,B2C,JP,https://communify.com
PublicLink,SMALL,2757714,GovTech,B2C,GB,https://publiclink.com
DigiCivics,SMALL,937191,GovTech,B2B,AT,https://digicivics.com
VoxCities,SMALL,2150434,GovTech,B2B,IE,https://voxcities.com
EcoNova Solutions,LARGE,399231329,Greentech & Sustainable Technology,B2C,CN,https://econovasolutions.cn
VerdeTech Innovations,MICRO,332838,Greentech & Sustainable Technology,B2C,DE,https://verdetech.com
SustainaGen,SMALL,1254345,Greentech & Sustainable Technology,B2C,AT,https://sustainagen.com
GreenPulse Energy,SMALL,734643,Greentech & Sustainable Technology,B2C,NL,https://greenpulse.com
RenewEarth Systems,MEDIUM,48665876,Greentech & Sustainable Technology,B2C,DE,https://renewearth.de
BluePlanet Renewables,MEDIUM,33800491,Greentech & Sustainable Technology,B2C,SE,https://blueplanet.com
NextGen EcoTech,SMALL,1468691,Greentech & Sustainable Technology,B2B,IL,https://nextgenecotech.com
Solaris Future,LARGE,231476140,Greentech & Sustainable Technology,B2B,SE,https://solarisfuture.com
EnviroWave Tech,LARGE,94082476,Greentech & Sustainable Technology,B2C,AU,https://envirowave.com
ZeroCarbon Dynamics,MEDIUM,6789932,Greentech & Sustainable Technology,B2B,NL,https://zerocarbon.com
AgriNext Solutions,MICRO,62935,Agritech,B2B,NZ,https://agrinext.com
